Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.911497,-51.079021,0.000000,bottom
C3,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.298500,-54.484000,180.000000,bottom
J2,USB_C_PWR_IN,USB_C_Receptacle_HRO_TYPE-C-31-M-12,114.197500,-46.150000,0.000000,bottom
R2,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.540000,-53.770000,180.000000,bottom
R3,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.540000,-56.060000,180.000000,bottom
R4,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.540000,-63.860000,180.000000,bottom
R8,10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.577000,-85.222000,90.000000,bottom
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.654912,-66.338413,0.000000,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.700000,-58.710000,0.000000,top
R5,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.700000,-66.430000,180.000000,top
R6,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.640000,-53.710000,0.000000,top
R7,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,139.640000,-64.100000,180.000000,top
R9,510,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.525000,-85.185000,-90.000000,top
R10,680,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.525000,-85.185000,-90.000000,top
R11,2.2k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.525000,-85.185000,-90.000000,top
R12,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,112.575000,-85.185000,-90.000000,top
R14,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,106.420000,-51.200000,-90.000000,top
R15,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.030000,-51.190000,-90.000000,top
